album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;059gkYk4gbRBYxVNn2no4E;Kolekcija 20'000 (Geriausių Dainų Naujos Versijos);6cG4rU4OxlBBR0j5f8Whmp;16Hz;2000-08-21;4
single;05Td0APPfpRzIYSYqiRLYD;Alkalmatlan;3caMJ0aN6s2HiDdXBQhjl5;Antal;2019-10-14;4
single;05UXLGQfcHuNdLs07G27iI;Álmatlan;1pBDlhx22vrzeZnD9Bwm7k;Your Last Steps;2020-03-25;3
album;05Z84WPIZaGXcd3Pr3pq0Y;Skaiti Līdz Miljons;7bdZTARf3OwTyGoXtwgpve;Vokālā Studija "Miljons";2014-10-29;3
single;05bvZ4bRFk86yZPJrrs9VK;Angyalok mosolyogjanak;0ZDycmbZQKFaCzfQtnu3hS;Alvin és a Mókusok;2019-12-10;3
single;05c1ojpG2v96oGFJ75TEgs;Time to Shine;5VPub7jrmBFMIEe9R1C18L;Navajo;2019-11-09;3
single;05hpTYccMKUWcrMo3GpZRz;Kuule, mees!;6HI8rcJysSSJjctsRIwMub;Curly Strings;2014-08-13;3
single;05jx0hEjmVQgIcFf7TqrSe;Happy Being Dead;7LZUPKL2PXy9cc8cmah47f;Evestus;2020-11-27;2
album;05kRIfKeV6tGUmFdvz25V4;Staying Healthy, Jazz Duo;4qTqsahR2vVTbN4yViuQys;Dinner Jazz Collective;2020-06-11;2
album;05lz4gAispbdrQFbbWPs15;Holy Hustle;4gt7BqgQEY0KrNypwk1ccn;C Jay The-Don;2014-01-14;4
single;05pj6Bdjaqy31O5bK3xXVi;Critical;373Zze9JYDrCAfkQZUsOBP;Makree;2020-07-31;2
single;05s96Dcr3vKXpr2hgikeJL;Baa’d Elbiban;4dejJ4Gg0YVjWRUdfpF3yA;Dina El Wedidi;2020-04-09;2
single;05vXInsvjPwwv38WChHzvd;Räpina Jack;5hgq34nDRdAgn411wo5n2r;Räpina Jack;2020-04-20;1
single;05xlnPDAjw33WSEYIzOLpp;Katski karat kängä';1SStpLSKpvM9fZXpHeuZFw;Kiiora;2020-08-27;3
album;05zACUo6a4Kz1CNqLhvFaY;"Live & Deadly" Cd (2007);2dHECfE7vAlXc4DgNhUKrr;Skamp;2007-01-01;4
single;05zLh5DzzjseXU2JdSwmgR;Viimane päev;0oVlZeM2rDxHsESKXp0fY7;Karl Madis;1997-01-01;1
single;060xDdijoPEWndDzrFvJiw;Minden Valódi;55HVLe4Vdtfb6okxA7qy0n;Bermuda;2014-03-19;4
album;062rydsMtk9m4ps1ZdjuHv;VISUR SKAN;01hAJdi5lJxnwWBTaFPYRB;B OPTIMIST;2020-09-29;3
album;063NqvdkYDhYDB7rL9uW6b;Piano Love Serenades;42uuEWfeoDinAqbb4ntHjh;Piano Music Collection;2019-12-21;4
compilation;064pfIK6x0PdkbcdjSgGhP;Welcome To MIAMI 2014;0LyfQWJT6nXafLPZqxe9Of;Various Artists;2014-03-13;2
single;065KwXcvpJiEeOpnWrTZef;Karnivajrus;6a9xkWthRcINLfMkHmqrXp;Siconix;2020-04-28;1
single;067nKsp5Qn6sVFPR2gR2fO;Mēs nekļūsim par cūkām;58XsiJdFD5qrpWauie64Z9;Brīnumskapis;2018-09-29;3
single;069ic7CXR37whjHoa4Gin6;Choices;3Ot0wOX9WeaQERn0Oz0LIa;MARTA;2016-01-22;3
single;06FCBJ5hbIJwVZgrCCmiRv;Kartais;7sdNw5xCqLmklPwCGrM0tw;Jurijus;2018-05-03;3
album;06J8PxP9T9JBROFbwycz6W;Homege to Ella Fitzgerald;4vDUt6XhUpzKoIeZN6i3Vx;Hilda Kazasyan;2018-05-31;2
album;06RA9tTXM0yiCG4Ox65bhz;Rap Homies & Famill;7gL0wbacEY8QknljDYBOoW;T the Boss;2011-10-31;4
compilation;06RVL0qTmGUI0KU0IvRGdl;Karstas Dejas;0LyfQWJT6nXafLPZqxe9Of;Various Artists;2000;2
single;06TK6DNq5XvVhvBChYSkmv;Break of Day - EP;3WmDlovZZ0wZmOkHMXuoZw;Tony;2020-11-23;2
album;06UcBbUK5VkGyAmcovwQ44;Püsimatu hing;4WC688kfC9tckJWPoziJR6;Gretagrund;2015-10-23;1
single;06dOSffFtcoFodtGGOq2yj;Sounds Like a Dance Party but No One Is Dancing (Special Edition);1ViygCYNDdKVx07eCzMxD7;Cactus Erectus;2020-07-20;3
single;06hg3hs8RJnLu49dwc4AoY;הכל יכל להיות כל כך פשוט;3Cau8mrdmn7F4nTIP0VQ28;Pele Ozen;2020-05-01;4
album;06roPV6f2PYSX8hrKR7T7o;Baltaks top viss;5n3MUizZvKbu6lwRwH9P8N;Niks Matvejevs;2004;1
single;075zHS8Eq0m61b11VrpaB6;Soup;3sgAdiPhuvZrC1Di13TVbO;Flying Saucer Gang;2018-03-09;3
single;079aF5GtD9fXRY7PENyEkr;Amygdala Hijack;5aTIq4z8DHiV28aYQVoneW;Der Däiwel;2020-09-15;1
album;07G8Yc90St5sWgX9mMH354;Chakra: Center of Energy – Balancing Zen Meditation, Calm Mind, Body & Soul, Healing Music of Nature, Yoga, Transcendental Mediation, Reiki;5t6WlYXkw4hneU3bro2PEB;Chakra Balancing Music Oasis;2016-04-05;1
single;07McHEfCBamoa2N03t9P9T;Хиляди парчета;0muAc38N4uXmIshz0auyvI;Жоро;2018-12-07;2
single;07aQMIKQ7rzofH9yLoXYx6;Return To Serenha / Playa Mansa;1a0WCnM3E33TYokOBZQj5O;Skyscape;2017-07-31;3
