album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
single;6UwDwfwSxNjzyxj2zdHHc5;Feed The Fire (A-Trak & The Brothers Macklovitch Remix);0GG2cWaonE4JPrjcCCQ1EG;SG Lewis;2020-11-27;47
album;3pc2lFIjcR56ZAdBLJ7S1N;The Balancing Act;5v0XTlB9FqNvfBfnw8n5b0;Statik Selektah;2020-11-27;56
single;4e2wdQMXc0AL041wpXbCnz;Drivin Thru the Night (Jerro Remix);6gK1Uct5FEdaUWRWpU4Cl2;Petit Biscuit;2020-12-04;45
single;1ikhLN4qr3HKaiaUb3k2WU;Menace;220xv2aB3dsGxaJI1gGs7l;Hotboii;2020-12-04;39
album;1FNBevfbKAzZsgI2RpkkQQ;Small Town Boy;3klZnJvYGIbWritVwQD434;Duncan Laurence;2020-11-27;57
single;5uFXAG4F9SX86RS5RHWDsx;No Time For Tears;2gduEC76ry33RVurAvT05p;Nathan Dawe;2020-11-26;66
single;0k7YiefLd21I2nqbp34jZa;Better Days (feat. Justin Timberlake);028lPW2NdWHdSPCkRkcyhd;Ant Clemons;2020-12-04;58
single;2wDZg4ltJv3MCyK1svvdQD;Runaway;3hyEbRtp617pNCuuQjyOmc;Lost Kings;2020-12-04;49
single;1o9069YtYKrMnLLCxUiWiq;As I Go (feat. Skrizzly Adams);3IstlZaHyUP9SONpulb4SM;Chris Webby;2020-12-09;0
album;0YmDs7WoVGrVevnmWZMA73;Rewind, Replay, Rebound (Live in Deutschland);0L5fC7Ogm2YwgqVCRcF1bT;Volbeat;2020-11-27;54
single;3vsLwF0CGPFOMeOf1SA0xJ;Abundance;5zUSfxfP1NETZiaWt0Ui0a;Casiio;2020-11-27;29
album;2DJX8o4g2JN2rYrHaihACQ;Cherry Blossom (Extended, Pt. 1);7gAppWoH7pcYmphCVTXkzs;The Vamps;2020-11-27;29
album;0aQyoEuGYEXAbxIM7vIJYj;Claude Debussy: Clair de Lune;1Uff91EOsvd99rtAupatMP;Claude Debussy;2020-11-27;41
album;4odgU4XFiB5pxEKKqB9QJA;Tea For The Tillerman (Super Deluxe);08F3Y3SctIlsOEmKd6dnH8;Yusuf / Cat Stevens;2020-12-04;46
single;5dNsBIXpwPH71jCxSwIatD;All About You (feat. Foster The People) [Sunset Version];2x7EATekOPhFGRx3syMGEC;The Knocks;2020-11-27;52
single;2vU845G46qYoFoGePvZxgI;We Can Do This;5EvFsr3kj42KNv97ZEnqij;Shaggy;2020-12-04;41
single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;08F3Y3SctIlsOEmKd6dnH8;Yusuf / Cat Stevens;2020-11-26;45
album;2XhUEPtks4Am8R454A9KYU;Backstage En Vivo, Vol. 2;3nFB4eMP5gdqee2eQb8nZb;Conjunto Primavera;2020-11-27;40
single;1luEfLZwZVuzEs6nbaVKMw;Let It Snow (feat. Brian McKnight) [2020 Holiday Edition];6O74knDqdv3XaWtkII7Xjp;Boyz II Men;2020-12-04;26
single;2cAPjm6nle20UbNU70ZUHC;Hey Good Morning Circle Time Song for Kids;1qKLikeNYpQFSsDAjg7HpI;The Kiboomers;2020-11-26;10
album;2fsCNnJWXOpEkIqC4SgXDu;El Capo (Deluxe);6AMa1VFQ7qCi61tCRtVWXe;Jim Jones;2020-11-27;51
single;0rJuGvvXX626hak1KwrEPZ;You Knew It Was Me;6AyATGg7mDgBlZ4N5uNog0;SYML;2020-11-27;53
single;0EUIGdkbLjNFPB9t01PgBf;Bossa Nova;3u579Gdap91lMptBSdXTpf;Kash Doll;2020-12-04;48
album;5gQQ8NZgAAVgPA8TcIJGRI;Rittzmas;5sRhscbWRXFbjXtSZyfaWY;Rittz;2020-12-04;44
single;3F3illSUdMEOECbU7HKRG8;All Things Must Pass (2020 Mix);7FIoB5PHdrMZVC3q2HE5MS;George Harrison;2020-11-27;51
single;0lye0s2jBSO8wxynO6vCBm;Look Away;59KX7XUUgAOOo5IyDjca0T;Verzache;2020-12-04;44
single;4K00RFXENdjK2IpySdmXTq;Menace;220xv2aB3dsGxaJI1gGs7l;Hotboii;2020-12-04;22
single;0kdVh2o1k6qQ7MNuW2NdP2;Let's Move;1MIVXf74SZHmTIp4V4paH4;Mabel;2020-11-27;31
album;2QmaT8kKzaEUtrB2gJBc9C;Cocomelon Christmas, Vol.2;6SXTTUJxIVwMbc1POrviTr;Cocomelon;2020-11-27;50
single;0pG2nk7v8SRW1w0hm9x80v;Sussex Carol (On Christmas Night) [Live];1U5zgr455OGyIkLNXvDdrf;Traditional;2020-12-04;26
single;4OT2i2S627hwhJQXVkQP1e;Need You Now (Remixes);0SfsnGyD8FpIN4U4WCkBZ5;Armin van Buuren;2020-11-27;52
album;1161AkAul7qL1aTP9nU8ed;Graduale Project Year 8, Pt. 2;1U5zgr455OGyIkLNXvDdrf;Traditional;2020-12-04;4
album;4g8ygxE52iD9S4BaKGbirN;De Monasterio;1U5zgr455OGyIkLNXvDdrf;Traditional;2020-12-04;6
album;5msdHz0uo7L97aczilcHv9;11 Peace Towards Men;1U5zgr455OGyIkLNXvDdrf;Traditional;2020-11-27;5
single;0N1e6IKeNg3SgMkoy0zfdn;Leise rieselt der Schnee;1U5zgr455OGyIkLNXvDdrf;Traditional;2020-12-05;10
